Date,Open,High,Low,Close,Volume
08/08/2000,70.06,74.69,70.00,74.12,69024700
08/09/2000,73.75,74.87,73.12,74.25,31974400
08/10/2000,73.81,74.06,71.75,72.62,24494700
08/11/2000,72.44,72.69,71.62,72.44,17817500
08/14/2000,72.31,73.37,71.37,72.19,26715500
08/15/2000,72.00,73.00,71.50,71.62,20361100
08/16/2000,71.87,72.25,70.56,71.00,22492700
08/17/2000,71.12,72.00,70.56,71.56,18060000
08/18/2000,71.12,71.44,70.00,71.00,27224700
08/21/2000,70.69,70.81,70.06,70.62,17065300
08/22/2000,70.81,72.44,70.22,71.25,27216400
08/23/2000,70.81,71.12,70.37,70.75,18365300
08/24/2000,70.62,71.19,69.94,71.12,21204200
08/25/2000,70.69,71.69,70.56,70.62,26367300
08/28/2000,70.19,72.12,70.12,71.31,28211200
08/29/2000,71.19,72.75,70.87,70.94,29700200
08/30/2000,70.69,70.94,69.69,70.00,26754700
08/31/2000,70.87,72.00,69.69,69.81,36292000
09/01/2000,70.00,70.62,69.69,70.19,18817700
09/05/2000,70.00,70.69,69.81,70.12,25381900
09/06/2000,70.06,70.69,69.31,69.44,31480600
09/07/2000,70.00,72.06,69.44,70.06,55858700
09/08/2000,70.37,70.87,69.19,69.31,28357500
09/11/2000,69.12,69.69,68.06,68.81,24251900
09/12/2000,68.75,69.31,67.62,68.12,23390900
09/13/2000,67.56,68.75,67.19,68.25,20373800
09/14/2000,68.69,68.75,65.69,65.81,39252300
09/15/2000,65.44,65.62,63.31,64.19,49961900
09/18/2000,64.25,64.62,62.19,63.00,34523900
09/19/2000,63.63,65.75,63.38,65.00,39658700
09/20/2000,64.87,65.00,63.19,64.25,33898900
09/21/2000,64.00,65.12,63.56,64.19,24479500
09/22/2000,61.13,63.50,61.00,63.25,42243000
09/25/2000,63.25,63.50,60.44,61.25,26743300
09/26/2000,60.94,65.87,60.44,62.69,77853700
09/27/2000,63.44,63.56,59.81,60.63,53082200
09/28/2000,60.81,61.88,60.63,61.31,26180300
09/29/2000,61.00,61.31,58.63,60.31,37030600
10/02/2000,60.50,60.81,58.25,59.13,29281900
10/03/2000,59.56,59.81,56.50,56.56,42690900
10/04/2000,56.38,56.56,54.50,55.44,68230500
10/05/2000,55.50,57.25,55.25,55.38,40555200
10/06/2000,55.81,56.75,54.75,55.56,30900900
10/09/2000,55.63,55.75,53.00,54.19,29162800
10/10/2000,53.94,55.56,53.81,54.56,31034800
10/11/2000,54.00,56.94,54.00,55.75,50604500
10/12/2000,56.31,56.88,53.81,54.38,45115300
10/13/2000,53.88,54.88,52.13,53.75,52260900
10/16/2000,53.50,53.81,49.56,50.38,59884800
10/17/2000,51.88,52.44,50.25,50.44,40643000
10/18/2000,49.63,53.25,48.44,51.75,55272800
10/19/2000,58.44,62.19,58.00,61.88,128500300
10/20/2000,61.31,66.12,61.13,65.19,80194500
10/23/2000,64.62,66.25,60.69,62.13,92588100
10/24/2000,62.63,62.94,60.19,61.50,47215800
10/25/2000,61.94,63.44,60.44,61.25,83803000
10/26/2000,61.00,65.06,60.81,64.44,57415200
10/27/2000,64.69,69.19,64.62,67.69,62149700
10/30/2000,67.50,70.12,67.37,69.06,55033700
10/31/2000,69.00,69.50,68.00,68.87,52240900
11/01/2000,68.50,70.06,68.44,69.62,40657300
11/02/2000,70.37,70.84,69.62,70.31,38994100
11/03/2000,69.25,69.62,68.06,68.25,34358600
11/06/2000,68.69,70.12,68.25,69.50,37428900
11/07/2000,69.75,71.87,69.50,70.50,52168700
11/08/2000,71.12,72.37,68.00,69.44,103077300
11/09/2000,68.50,71.31,68.44,70.87,45534500
11/10/2000,69.94,70.31,66.81,67.37,46873400
11/13/2000,66.69,68.12,64.41,66.44,41683700
11/14/2000,68.00,69.81,67.31,68.81,42114500
11/15/2000,69.06,70.87,68.69,70.06,30211700
11/16/2000,69.44,71.50,68.94,68.94,46066700
11/17/2000,69.44,70.00,67.80,69.06,53264400
11/20/2000,68.12,68.50,65.56,67.19,40083400
11/21/2000,67.37,69.25,67.37,67.75,29745900
11/22/2000,66.06,69.50,66.00,68.25,38172500
11/24/2000,69.00,70.44,68.50,69.94,17225000
11/27/2000,71.44,72.25,70.62,70.69,42655900
11/28/2000,69.37,69.75,66.81,67.00,63724800
11/29/2000,66.81,67.12,63.25,65.06,49140300
11/30/2000,62.00,62.06,57.00,57.38,98600600
12/01/2000,58.06,60.63,56.06,56.63,54907700
12/04/2000,57.25,59.00,55.19,56.44,40205600
12/05/2000,59.19,60.50,58.25,59.88,50871200
12/06/2000,60.00,60.06,56.06,56.69,45280600
12/07/2000,53.44,54.00,52.25,53.13,72656600
12/08/2000,54.63,55.88,53.44,54.44,60475500
12/11/2000,55.50,58.75,55.00,58.06,47792700
12/12/2000,57.81,60.00,56.75,58.38,31554700
12/13/2000,60.50,60.50,56.81,57.25,49180300
12/14/2000,57.94,58.73,55.38,55.50,35601100
12/15/2000,51.05,52.00,47.75,49.19,58455500
12/18/2000,49.00,50.00,47.00,47.81,53595800
12/19/2000,47.44,48.00,44.50,44.81,60139200
12/20/2000,42.81,44.00,41.38,41.50,74523900
12/21/2000,40.75,45.13,40.31,43.44,81590200
12/22/2000,44.75,47.13,44.75,46.44,54779200
12/26/2000,46.88,48.56,45.88,46.88,33471200
12/27/2000,46.13,46.81,45.00,46.44,34503000
12/28/2000,45.13,46.25,43.88,44.56,38815000
12/29/2000,43.94,45.81,43.00,43.38,49993700
01/02/2001,44.13,45.00,42.88,43.38,41210300
01/03/2001,43.19,48.88,43.13,47.94,67981700
01/04/2001,47.81,50.50,46.88,48.44,56203300
01/05/2001,48.50,49.88,47.56,49.13,46711400
01/08/2001,48.94,49.75,46.69,48.94,39913700
01/09/2001,50.00,52.63,49.75,51.81,57484200
01/10/2001,51.00,53.81,50.75,52.88,45118000
01/11/2001,53.00,55.75,52.31,55.00,50931600
01/12/2001,54.88,55.00,52.50,53.50,36859400
01/16/2001,53.38,53.50,51.13,52.56,34231900
01/17/2001,53.63,54.88,52.56,52.94,36423300
01/18/2001,53.69,56.19,52.63,55.50,54896900
01/19/2001,60.00,61.44,58.88,61.00,104676900
01/22/2001,60.75,61.00,59.00,60.13,38340200
01/23/2001,59.75,60.94,58.94,60.56,35151900
01/24/2001,61.00,63.44,60.75,62.94,55231700
01/25/2001,62.75,64.00,61.56,61.81,42833600
01/26/2001,61.00,64.31,61.00,64.00,46540000
01/29/2001,63.56,64.62,63.50,64.50,42493000
01/30/2001,64.50,64.75,62.88,63.38,28643100
01/31/2001,63.00,63.75,61.00,61.06,40954700
02/01/2001,60.81,62.63,60.38,62.38,35900000
02/02/2001,62.50,63.38,60.75,60.81,35550000
02/05/2001,60.75,62.06,60.25,61.94,25705000
02/06/2001,62.06,63.81,61.69,62.56,48221600
02/07/2001,62.00,65.06,61.81,64.69,63031400
02/08/2001,63.75,64.50,62.00,62.25,44020900
02/09/2001,61.31,61.56,58.50,59.13,50291900
02/12/2001,58.81,59.44,57.19,58.75,35647300
02/13/2001,59.63,61.06,58.13,58.19,38038300
02/14/2001,57.63,59.00,56.38,58.38,30866600
02/15/2001,59.00,60.19,57.88,58.81,32816100
02/16/2001,57.00,58.25,56.13,57.31,33484400
02/20/2001,57.38,58.25,55.38,55.88,30368400
02/21/2001,55.25,58.06,55.19,56.25,31975600
02/22/2001,56.31,56.81,53.88,55.19,50412800
02/23/2001,54.44,57.50,54.31,56.75,46310500
02/26/2001,57.63,59.94,57.38,59.56,43973100
02/27/2001,59.38,61.19,58.67,59.38,49576700
02/28/2001,59.56,60.08,58.19,59.00,42306600
03/01/2001,58.56,59.50,56.25,59.36,40891200
03/02/2001,57.50,58.13,56.44,56.69,39900600
03/05/2001,57.25,58.63,56.56,57.44,24692800
03/06/2001,58.63,60.00,58.38,59.44,33391400
03/07/2001,59.88,61.13,59.31,60.69,29872800
03/08/2001,60.31,60.59,58.44,59.25,27314700
03/09/2001,57.94,58.19,54.88,56.69,51901200
03/12/2001,54.69,55.00,51.63,51.94,57192500
03/13/2001,52.19,54.75,52.00,54.19,45522200
03/14/2001,52.50,55.25,52.19,54.00,45344800
03/15/2001,55.31,56.08,53.50,53.69,35824400
03/16/2001,52.50,55.13,52.48,54.56,56426900
03/19/2001,54.50,55.50,53.13,54.31,30522800
03/20/2001,54.56,56.13,52.63,52.69,45912200
03/21/2001,52.25,53.25,49.75,50.06,62496700
03/22/2001,50.56,54.06,50.50,54.00,63182500
03/23/2001,54.94,57.00,54.38,56.56,49765300
03/26/2001,57.13,57.50,55.56,56.06,31564500
03/27/2001,56.06,58.56,55.88,58.25,47572200
03/28/2001,57.38,57.94,55.38,55.56,39341200
